Cygwin Package Information
Package                             Version
glib2.0-networking                  2.42.1-1
glproto                             1.4.17-1
gmp                                 6.0.0a-2
gnome-icon-theme                    3.10.0-1
gnome-themes-standard               3.14.2.3-2
gnutls-devel                        3.2.21-1
gperf                               3.0.4-2
grep                                2.21-2
groff                               1.22.3-1
gsettings-desktop-schemas           3.14.1-1
gtk-update-icon-cache               3.14.10-1
gtk1.2-engines                      0.12-11
gtk2.0-atk-bridge                   2.14.1-1
gtk2.0-canberra-module              0.30-1
gtk2.0-demo                         2.24.27-1
gtk2.0-engines-pixmap               2.24.27-1
gtk2.0-gail                         2.24.27-1
gtk3-canberra-module                0.30-1
gtk3-demo                           3.14.10-1
gv                                  3.7.4-1
gzip                                1.6-1
harfbuzz                            0.9.36-2
hicolor-icon-theme                  0.12-1
hostname                            3.13-1
iceauth                             1.0.6-1
ico                                 1.0.4-1
inetutils                           1.9.1-2
inetutils-server                    1.9.1-2
info                                5.2-3
inputproto                          2.3.1-1
intltool                            0.50.2-2
ipc-utils                           1.0-2
isl                                 0.11.1-2
iso-codes                           3.56-1
jasper                              1.900.1-15
jbigkit                             2.0-14
jpeg                                1.3.1-3
kbproto                             1.0.6-1
keychain                            2.7.1-1
khronos-opengl-registry             20141230_svn27684-1
lcms2                               2.6-1
less                                458-2
lftp                                4.6.1-2
libaa1                              1.4rc5-12
libapr1                             1.4.8-1
libaprutil1                         1.5.4-1
libarchive13                        3.1.2-2
libargp                             20110921-2
libasn1_8                           1.5.3-1
libasprintf0                        0.19.4-1
libasyncns0                         0.8-1
libatk-bridge2.0-devel              2.14.1-1
libatk-bridge2.0_0                  2.14.1-1
libatk1.0-devel                     2.14.0-1
libatk1.0_0                         2.14.0-1
libatkmm1.6-devel                   2.22.7-1
libatkmm1.6_1                       2.22.7-1
libatomic1                          4.9.2-3
libatspi-devel                      2.14.1-1
libatspi0                           2.14.1-1
libattr1                            2.4.46-1
libaudio2                           1.9.3-1
libautotrace3                       0.31.1-16
libblkid1                           2.25.2-2
libbz2-devel                        1.0.6-2
libbz2_1                            1.0.6-2
libcaca++-devel                     0.99.beta19-1
libcaca++0                          0.99.beta19-1
libcaca-bin                         0.99.beta19-1
libcaca-devel                       0.99.beta19-1
libcaca-doc                         0.99.beta19-1
libcaca0                            0.99.beta19-1
libcairo-devel                      1.12.18-2
libcairo2                           1.12.18-2
libcairomm1.0-devel                 1.10.0-2
libcairomm1.0_1                     1.10.0-2
libcanberra-devel                   0.30-1
libcanberra-gtk-devel               0.30-1
libcanberra-gtk0                    0.30-1
libcanberra-gtk3-devel              0.30-1
libcanberra-gtk3_0                  0.30-1
libcanberra0                        0.30-1
libcatgets1                         1.1-2
libcfitsio3                         3.360-1
libcharset1                         1.14-3
libclang                            3.4.2-5
libcloog-devel                      0.15.11-2
libcloog-isl-devel                  0.18.0-2
libcloog-isl-doc                    0.18.0-2
libcloog-isl4                       0.18.0-2
libcloog0                           0.15.11-2
libcom_err2                         1.42.12-2
libcroco0.6_3                       0.6.8-1
libcrypt-devel                      1.1-1
libcrypt0                           1.1-1
libcurl-devel                       7.41.0-1
libcurl4                            7.41.0-1
libdatrie1                          0.2.8-1
libdb5.3                            5.3.21-1
libdbus-glib_1_2                    0.102-1
libdbus1-devel                      1.8.16-1
libdbus1_3                          1.8.16-1
libdialog11                         1.2-20140112-1
libdialog12                         1.2-20150225-2
libdmx-devel                        1.1.3-1
libdmx1                             1.1.3-1
libedit0                            20130712-1
libEGL-devel                        10.3.7-1
libEGL1                             10.3.7-1
libEMF1                             1.0.7-1
libexif-common                      0.6.21-2
libexif12                           0.6.21-2
libexiv2_13                         0.24-1
libexpat-devel                      2.1.0-3
libexpat1                           2.1.0-3
libfam0                             0.1.10-15
libffi-debuginfo                    3.2.1-1
libffi-devel                        3.2.1-1
libffi6                             3.2.1-1
libfftw3-devel                      3.3.4-1
libfftw3_3                          3.3.4-1
libFLAC++6                          1.3.1-1
libFLAC8                            1.3.1-1
libfltk-devel                       1.3.3-1
libfltk-doc                         1.3.2.9965-1
libfltk1.3                          1.3.3-1
libfontconfig-devel                 2.11.1-2
libfontconfig1                      2.11.1-2
libfontenc-devel                    1.1.2-1
libfontenc1                         1.1.2-1
libfpx1                             1.3.1.4-1
libfreetype-devel                   2.5.5-1
libfreetype6                        2.5.5-1
libfribidi-devel                    0.19.2-1
libfribidi0                         0.19.2-1
libFS6                              1.0.6-1
libgailutil18                       2.24.27-1
libgc                               7.2d-2
libgc-devel                         7.2d-2
libgc1                              7.2d-2
libgcc1                             4.9.2-3
libgconf2-devel                     3.2.6-2
libgconf2_4                         3.2.6-2
libgcrypt11                         1.5.3-2
libgcrypt20                         1.6.3-1
libgd2                              2.0.36RC1-2
libgd3                              2.1.1-1
libgdbm4                            1.11-1
libgdk_imlib1                       1.9.15-15
libgdk_pixbuf2.0-devel              2.31.1-1
libgdk_pixbuf2.0_0                  2.31.1-1
libgettextpo-devel                  0.19.4-1
libgettextpo0                       0.19.4-1
libgfortran3                        4.9.2-3
libggi2                             2.2.2-4
libggi2-display-x                   2.2.2-4
libggiwmh0                          0.3.2-4
libggiwmh0-display-x                0.3.2-4
libgif4                             4.1.6-12
libgii1                             1.0.2-4
libgii1-input-x                     1.0.2-4
libgirepository1.0_1                1.42.0-1
libGL-devel                         10.3.7-1
libGL1                              10.3.7-1
libglade2.0-devel                   2.6.4-2
libglade2.0_0                       2.6.4-2
libglademm2.4-devel                 2.6.7-11
libglademm2.4-doc                   2.6.7-11
libglademm2.4_1                     2.6.7-11
libglapi0                           10.3.7-1
libGLESv1_CM1                       10.3.7-1
libGLESv2_2                         10.3.7-1
libglib1.2_0                        1.2.10-12
libglib2.0-devel                    2.42.2-1
libglib2.0_0                        2.42.2-1
libglibmm2.4-devel                  2.42.0-1
libglibmm2.4_1                      2.42.0-1
libglpk33                           4.48-1
libGLU-devel                        9.0.0-1
libGLU1                             9.0.0-1
libglut-devel                       2.8.1-1
libglut3                            2.8.1-1
libGLw-devel                        8.0.0-1
libGLw1                             8.0.0-1
libgmp-devel                        6.0.0a-2
libgmp10                            6.0.0a-2
libgmpxx4                           6.0.0a-2
libgnat4.9                          4.9.2-3
libgnutls-devel                     3.2.21-1
libgnutls28                         3.2.21-1
libgomp1                            4.9.2-3
libgpg-error0                       1.18-1
libgraphite2_3                      1.2.3-1
libgs9                              9.15-2
libgsf1-devel                       1.14.32-1
libgsf1_114                         1.14.32-1
libgsm-devel                        1.0.13-3
libgsm1                             1.0.13-3
libgssapi3                          1.5.3-1
libgssapi_krb5_2                    1.13.1-1
libgstinterfaces0.10_0              0.10.36-2
libgstreamer0.10_0                  0.10.36-2
libgtk1.2_0                         1.2.10-13
