Cygwin Package Information
Package                             Version
xcursor-themes                      1.0.4-1
xcursorgen                          1.0.6-2
xdbedizzy                           1.1.0-1
xdg-user-dirs                       0.15-1
xditview                            1.0.3-1
xdpyinfo                            1.3.1-1
xev                                 1.2.1-1
xextproto                           7.3.0-1
xeyes                               1.1.1-1
xf86-video-dummy                    0.3.7-3
xf86-video-nested                   0.1.0-6
xf86bigfontproto                    1.2.0-1
xfd                                 1.1.2-1
xfig                                3.2.5c-2
xfig-lib                            3.2.5c-2
xfontsel                            1.0.5-1
xfs                                 1.1.3-20140603-1
xfsinfo                             1.0.4-1
xgc                                 1.0.4-1
xhost                               1.0.6-1
xineramaproto                       1.2.1-1
xinit                               1.3.4-5
xinput                              1.6.1-1
xkbcomp                             1.2.4-1
xkbevd                              1.1.3-1
xkbprint                            1.0.3-1
xkbutils                            1.0.4-1
xkeyboard-config                    2.14-1
xkill                               1.0.4-1
xlaunch                             20150224-2
xload                               1.1.2-1
xlogo                               1.0.4-1
xlsatoms                            1.1.1-1
xlsclients                          1.1.3-1
xlsfonts                            1.0.4-1
xmag                                1.0.4-1
xmessage                            1.0.4-1
XmHTML                              1.1.7-13
XmHTML-devel                        1.1.7-13
xmodmap                             1.0.8-1
xmon                                1.5.6-3
xmore                               1.0.2-1
xorg-docs                           1.7-1
xorg-scripts                        1.0.1-1
xorg-server                         1.17.1-2
xorg-server-common                  1.17.1-2
xorg-server-devel                   1.17.1-2
xorg-server-dmx                     1.17.1-2
xorg-server-extra                   1.17.1-2
xorg-sgml-doctools                  1.11-1
xpdf                                3.03-4
xpr                                 1.0.4-1
xprop                               1.2.2-1
xproto                              7.0.26-1
xrandr                              1.4.3-1
xrdb                                1.1.0-1
xrefresh                            1.0.5-1
xscope                              1.4-1
xset                                1.2.3-1
xsetroot                            1.1.0-1
xsm                                 1.0.3-1
xstdcmap                            1.0.3-1
xterm                               316-1
XtoW                                20130802-2
xwd                                 1.0.6-1
xwinclip                            1.17.1-2
xwininfo                            1.1.3-1
xwud                                1.0.4-1
xxd                                 7.4.663-1
xz                                  5.0.8-1
yasm                                1.3.0-1
yasm-devel                          1.3.0-1
zip                                 3.0-12
zlib-devel                          1.2.8-3
zlib0                               1.2.8-3
